chr1:121667942-126701150
total	2342
S1C1/5/19H1L.1-5(_6/4_5){n}-6	1427
S1C1/5/19H1L.1-3(_6/4_5){n}-6	260
S3C1H2-A.1-11	154
S1C1/5/19H1L.1-6	77
S3C1H2-B.1-11	47
S3C1H2-C.1-7_10-11	38
S1C1/5/19H1L.1-5(_6/4_5){n}_6/4_S1C16H1L.5(_6/4_5){n}-6	30
S1C1/5/19H1L.5(_6/4_5){n}-6	25
S1C1/5/19H1L.1-3_6	20
S1C1/5/19H1L.1-5(_6/4_5){n}_4-5(_6/4_5){n}-6	19
S1C1/5/19H1L.1-2_5-6	14
S1C1/5/19H1L.1-5(_6/4_5){n}_6/2_3-5(_6/4_5){n}-6	14
S1C1/5/19H1L.1-5(_6/4_5){n}_2-5(_6/4_5){n}-6	13
S1C1/5/19H1L.1-2_5(_6/4_5){n}-6	9
S1C1/5/19H1L.1-4_5/3(_6/4_5){n}-6	8
S3C1H2-D.1-7_10-11	7
S1C1/5/19H1L.1_2/4_5(_6/4_5){n}-6	6
S1C1/5/19H1L.1-5(_6/4_5){n}_6/4	6
S1C1/5/19H1L.1-5_6/2_3(_6/4_5){n}-6	6
S1C1/5/19H1L.1-3(_6/4_5){n}_6/2_3-5(_6/4_5){n}-6	6
S1C1/5/19H1L.1-2_5_4-5(_6/4_5){n}-6	5
S1C1/5/19H1L.1-3(_6/4_5){n}_4-6	5
S3C1H2-B.1-6_A.7-S3C1H2_8-11	4
S3C1H2-D.C.1-S3C1H2_2-7_10-11	4
S1C1/5/19H1L.1(_6/4_5){n}-6	3
S1C1/5/19H1L.1-4	3
S1C1/5/19H1L.1-5_4-5(_6/4_5){n}-6	3
S1C1/5/19H1L.1-5_6/4_S1C16H1L.5(_6/4_5){n}-6	3
S1C1/5/19H1L.1-5(_6/4_5){n}_6/2_3(_6/4_5){n}-6	3
S1C1/5/19H1L.1-3(_6/4_5){n}_6/4	3
S1C1/5/19H1L.1-5(_6/4_5){n}_S1C16H1L.4	3
S1C1/5/19H1L.1-4_S1C16H1L.5(_6/4_5){n}-6	3
S1C1/5/19H1L.1-3(_6/4_5){n}_2-3(_6/4_5){n}-6	3
S1C1/5/19H1L.1-5(_6/4_5){n}_6/4_5/3_4-5(_6/4_5){n}-6	3
S3C1H2-D.1-4_C.5-S3C1H2_6-7_10-11	3
S3C1H2-B.1-9_A.10-S3C1H2_11	2
S3C1H2-B.1-2_A.3-S3C1H2_4-5_A.6-S3C1H2_7-11	2
S3C1H2-B.1-7_A.8-S3C1H2_9-11	2
S1C1/5/19H1L.1/5_2/6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_6/4_5/1_2-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_4-5(_6/4_5){n}_6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_6/4_3-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-3(_6/4_5){n}_6/4_3-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1/5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_2_5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_2_3/5(_6/4_5){n}-6	2
S1C1/5/19H1L.3-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_2-3(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_2-6	2
S1C1/5/19H1L.1-5_2-5(_6/4_5){n}_6/2_3-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-5(_6/4_5){n}_6/2_3-5(_6/4_5){n}_6/2_3-5(_6/4_5){n}-6	2
S1C1/5/19H1L.1-3(_6/4_5){n}_6/2_3-6	2
S1C1/5/19H1L.1-2_5_6/4	2
S1C1/5/19H1L.1-5(_6/4_5){n}_6/2_3-5(_6/4_5){n}_6	2
S1C1/5/19H1L.1-2_5(_6/4_5){n}_6/4	2
S1C1/5/19H1L.1-5_2/6	2
S3C1H2-B.11	1
S3C1H2-B.1-9	1
S3C1H2-B.1-2_A.3-S3C1H2_4-6_A.7-S3C1H2_8-11	1
